,Gene.Name,Gene.products,agg,moundUp,cellCycle,stream_down,stream_up,tight_down,tight_up,rib
DDB_G0294144,DDB_G0294144_RTE,Skipper GAG-PRO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294146,DDB_G0294146_RTE,Skipper GAG-PRO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294164,DDB_G0294164_RTE,Skipper GAG-PRO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294168,DDB_G0294168_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294170,DDB_G0294170,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294176,DDB_G0294176_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294178,DDB_G0294178,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294180,DDB_G0294180_RTE,DIRS1 ORF1/ORF3 fusion fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294190,DDB_G0294190_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294192,DDB_G0294192,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294194,DDB_G0294194,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294196,DDB_G0294196,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294198,DDB_G0294198,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294200,DDB_G0294200,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294202,DDB_G0294202,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294204,DDB_G0294204_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294206,DDB_G0294206_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294210,DDB_G0294210_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294212,DDB_G0294212_RTE,DGLT-B NRD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294214,DDB_G0294214,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294216,DDB_G0294216_RTE,DIRS1 ORF2 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294218,DDB_G0294218_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294220,DDB_G0294220,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294222,DDB_G0294222,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294224,DDB_G0294224_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294226,DDB_G0294226_TE,DDT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294228,DDB_G0294228_RTE,Skipper GAG-PRO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294230,DDB_G0294230_RTE,Skipper GAG-PRO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294232,DDB_G0294232_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294236,DDB_G0294236_RTE,DGLT-A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294238,DDB_G0294238,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294240,DDB_G0294240_ps,pseudogene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294663,tRNA-Phe-GAA-2,phenylalanine transfer RNA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294242,DDB_G0294242_RTE,TRE3-B ORF1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294244,DDB_G0294244_RTE,TRE3-B ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294246,DDB_G0294246_TE,Tdd-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294248,DDB_G0294248_RTE,DIRS1 ORF1 fragment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294250,DDB_G0294250_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294252,DDB_G0294252_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB_G0294254,DDB_G0294254_RTE,Skipper RT-IN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
